display  D   display_settings.c:486  _al_score_display_settings       [   0.02450] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02452] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02454] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02456] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02458] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02460] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02462] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02464] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02466] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02468] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02470] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02472] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02474] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02476] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02478] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02480] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02482] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02484] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02486] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02488] Score is : 593
